"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","457.1518512982052","367.8165467410083","4.6556519101155205","0","0.0048000000000000265","0.008600000000000052","0.001","1244.4444444444443","0.0003464456782493985","0","0.0003464456782493985","0.0003464456782493985","0_1:0.004749667770875238;0_14:0.008031454552496098","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","191.79514647511564","138.98722474240682","4.534970900756204","0","0.0030999999999999917","0.0030000000000000027","0.0032","1244.4444444444443","0.0001357479186624441","0","0.0001357479186624441","0.0001357479186624441","1_2:0.007756197225706474","1_2:561.7777777777777","true"
"2","270.32079303387167","122.55674976205222","4.680127623612607","0","0.0042999999999999705","0.0054","0.0031999999999999806","1244.4444444444443","0.000120667740588202","0","0.000120667740588202","0.000120667740588202","2_3:0.0037677838436348254","2_3:561.7777777777777","true"
"3","390.35978852508924","74.25876536221206","4.606649854222478","0","0.0035000000000000586","0.0036","0.0033999999999999586","1244.4444444444443","0.00013115787996793968","0","0.00013115787996793968","0.00013115787996793968","","","true"
"4","468.9341250059384","174.51076229992188","4.462304116484186","0","0.007900000000000018","0.007800000000000029","0.008","1244.4444444444443","0.00040013407534025055","0","0.00040013407534025055","0.00040013407534025055","4_3:0.006073061729430229;4_15:0.01074521852155208","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","288.37331243880413","358.42377152369886","4.426684893436448","0","0.007500000000000062","0.0098","0.005199999999999982","1244.4444444444443","0.0002201834247403186","0","0.0002201834247403186","0.0002201834247403186","5_4:0.00738828200456107","5_4:561.7777777777777","true"
"6","400.8148222760197","177.83221422042604","4.6400870895435755","0","0.0024999999999999467","0.0046000000000000485","0.0004","1244.4444444444443","0.00013638094765947356","0","0.00013638094765947356","0.00013638094765947356","6_5:0.0062276474664345605","6_5:561.7777777777777","true"
"7","357.14497258649453","427.08116703759094","4.475693651645108","0","0.0020999999999999908","0.0038","0.00039999999999995595","1244.4444444444443","0.00015835708592223442","0","0.00015835708592223442","0.00015835708592223442","7_8:0.00627935835141602;7_6:0.01572485808924015","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","440.3104354002364","350.4515865631813","4.40180284275863","0","0.0018000000000000238","0.0023999999999999577","0.0012","1244.4444444444443","0.0002777312951707977","0","0.0002777312951707977","0.0002777312951707977","8_9:0.022825425457183163","8_9:561.7777777777777","true"
"9","453.42941451365647","356.7998450265127","4.51900260704664","0","0.007199999999999984","0.007000000000000006","0.0074","1244.4444444444443","0.00011249960021849204","0","0.00011249960021849204","0.00011249960021849204","","","true"
"10","296.02696231521327","60.13272701954376","4.6283849005717705","0","0.006799999999999917","0.0072","0.006399999999999961","1244.4444444444443","0.0001665705715400269","0","0.0001665705715400269","0.0001665705715400269","10_11:0.012155345280341068;10_9:0.009290511703916204","10_11:561.7777777777777;10_9:561.7777777777777","true"
"11","253.69236916374675","231.4485399675267","4.571509844019155","0","0.018199999999999994","0.0228","0.013599999999999945","1244.4444444444443","0.0006095599625372385","0","0.0006095599625372385","0.0006095599625372385","11_12:0.028422367644819896","11_12:561.7777777777777","true"
"12","199.5862705438317","277.1350972693925","4.4643088470300105","0","0.0028999999999999027","0.0044","0.0013999999999999568","1244.4444444444443","0.0001788447957098474","0","0.0001788447957098474","0.0001788447957098474","","","true"
"13","351.7477147726726","80.21083719042646","4.573358165547252","0","0.017900000000000027","0.024800000000000044","0.011","1244.4444444444443","0.0009552110336990042","0","0.0009552110336990042","0.0009552110336990042","13_12:0.007532678028247253","13_12:561.7777777777777","true"
"14","227.127970464231","242.58595937687406","4.6040851468904105","0","0.03079999999999994","0.024399999999999977","0.0372","1244.4444444444443","0.0009977048538294467","0","0.0009977048538294467","0.0009977048538294467","14_18:0.008066562134868033","14_18:561.7777777777777","true"
"15","428.6104677612873","66.11523267216963","4.4959274195094165","0","0.022699999999999942","0.018399999999999972","0.027","1244.4444444444443","0.00042435622836976166","0","0.00042435622836976166","0.00042435622836976166","","","true"
"16","439.4166917963495","133.70769576970702","4.513274135373895","0","0.0026999999999999247","0.0030000000000000027","0.0024","1244.4444444444443","0.00013262876316402073","0","0.00013262876316402073","0.00013262876316402073","16_8:0.01016691541922618","16_8:561.7777777777777","true"
"17","229.4027509411903","55.92250656837682","4.675752580226643","0","0.040100000000000025","0.0432","0.03700000000000003","1244.4444444444443","0.00073121525652094","0","0.00073121525652094","0.00073121525652094","17_12:0.01273029450460264;17_30:0.012272394142032461","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","254.13656740888734","57.56815355431617","4.514817552170022","0","0.0023999999999999577","0.0024","0.0023999999999999577","1244.4444444444443","0.0001495620464770713","0","0.0001495620464770713","0.0001495620464770713","","","true"
"19","292.3919070087802","189.84946361406892","4.444143206592098","0","0.0016000000000000458","0.0030000000000000027","0.0002","1244.4444444444443","0.0001811952603018534","0","0.0001811952603018534","0.0001811952603018534","19_18:0.006455266450745345","19_18:561.7777777777777","true"
"20","481.2798723983","504.86446499678283","4.341286088488666","0","0.023399999999999976","0.021199999999999997","0.0256","1244.4444444444443","0.0002050121833591701","0","0.0002050121833591701","0.0002050121833591701","20_19:0.008037894792730732","20_19:561.7777777777777","true"
"21","374.3627024958422","210.9052236177378","4.485198399042834","0","0.012399999999999967","0.012","0.012800000000000034","1244.4444444444443","0.0001080355158192681","0","0.0001080355158192681","0.0001080355158192681","21_22:0.011343934280464152;21_20:0.013318054363640558","21_22:561.7777777777777;21_20:561.7777777777777","true"
"22","214.22212690327385","102.05197814364298","4.3829414878673765","0","0.012199999999999989","0.019","0.00539999999999996","1244.4444444444443","0.002183314026182623","0","0.002183314026182623","0.002183314026182623","22_23:0.010486103303556593;22_15:0.01619607592673683","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","374.31153163761513","173.85975398621787","4.531759636171289","0","0.005700000000000038","0.006000000000000005","0.0054","1244.4444444444443","0.00017286477891076746","0","0.00017286477891076746","0.00017286477891076746","23_24:0.012587676476735782","23_24:561.7777777777777","true"
"24","320.27847908820024","81.41594251613245","4.64618284001785","0","0.0019000000000000128","0.0033999999999999586","0.0004","1244.4444444444443","0.0003125944404710529","0","0.0003125944404710529","0.0003125944404710529","24_25:0.006755144966789528","24_25:561.7777777777777","true"
"25","206.71564879725935","211.17191916957208","4.702190888431821","0","0.008000000000000007","0.009600000000000053","0.0064","1244.4444444444443","0.00031928835468865397","0","0.00031928835468865397","0.00031928835468865397","","","true"
"26","191.4215116552454","102.98702765469079","4.648807643201564","0","0.007299999999999973","0.007399999999999962","0.0072","1244.4444444444443","0.00034960043962107575","0","0.00034960043962107575","0.00034960043962107575","26_16:0.006394920834765533;26_27:0.01367963156386598;26_25:0.011354770803704617","26_16:561.7777777777777;26_27:561.7777777777777;26_25:561.7777777777777","true"
